lastName,firstName,title,streetNumber,region
Hale,Stanley,,17,SW
Hall,Harry,,8,NW
Halsey,Alen,,31,WC
Hamilton,Harvey,,16,NE
Hammond,Janice,,16,NE
Hansen,Billie,,20,WC
Hanson,Mildred,,4,SE
Hardy,Irvin,,17,SW
Harper,Lowell,,19,EC
Harris,Henry,,3,NW
Harrison,Don,,17,NE
Hart,Clayton,,23,WC
Harvey,Margaret,,14,SE
Hawkins,Orville,,19,WC
Hayes,Arnold,,7,NE
Haynes,Daniel,,20,SW
Henderson,Milton,,10,NE
Henry,Stephen,,4,NE
Hicks,Morris,,13,WC
Higgins,Marshall,,9,SW
Hill,Fred,,3,NW
Hoffman,Phillip,,20,WC
Holland,Josephine,,14,SE
Holmes,Luther,,19,WC
Holt,Joe,,9,SW
Hopkins,Warren,,15,SW
Horton,Ernest,,14,SW
Howard,Edwin,,2,NE
Howell,Virginia,,2,SE
Hudson,Jacob,,29,WC
Hughes,Herman,,12,NE
Hunt,Max,,15,WC
Hunter,Sidney,,12,WC
Ingram,Jorge,,7,SE
Jackson,Paul,,14,NW
Jacobs,Wilfred,,2,SE
James,Vernon,,11,NE
Jenkins,Lewis,,5,NE
Jennings,Carl,,2,SW
Jensen,Dorothy,,11,SE
Johnson,John,,2,NW
Johnston,Charles,,5,NW
Johnston,Chas E.,,3,SW
Johnston,Clinton,,4,EC
Jordan,Cecil,,14,NE
Joseph,Duane,,3,SW
Keane,Abel,,11,SE
Keller,Charles,,8,SE
Kelley,Ben,,12,WC
Kelley,William F.,,15,WC
Kennedy,Eddie,,12,NE
Kim,Victor,,1,NE
King,Carl,,12,NW
Klein,Dennis,,5,SW
Knight,Alex,,26,WC
Lake,Howard,,30,WC
Lambert,Frank,,1,SE
Lane,Wilbert,,6,EC
Lapham,Seneca,,32,WC
Larson,Bill,,14,WC
Lawrence,Ivan,,14,EC
Lawson,Juan,,4,SE
Le,Merle,,10,SW
Lee,Jack,,2,NW
Leonard,Walter,,5,SE
Lewis,Arthur,,5,NW
Little,Martha,,4,SE
Llanfer,Cyrus,,7,SW
Long,Philip,,15,NE
Love,Dan,,7,SW
Lowe,Jack,,6,SE
Lucas,Annie,,13,SE
Lynch,Allan,,6,SE
Lyons,Norman,,18,SW
Mann,Alex,,27,SW
Marshall,Douglas,,14,NE
Martin,Harold,,13,NW
Mason,Jessie,,8,WC
Matthews,Ira,,12,EC
May,Catherine,,8,SE
McCarthy,Archie,,26,SW
McCoy,Alice,,9,SE
McDaniel,Louis,,4,SW
McDonald,Teresa,,24,SW
McKinney,Clifton,,31,SW
Meyer,Junior,,20,WC
Miles,Samuel,,21,SW
Miller,Larry,,13,SE
Mills,Rudolph,,23,WC
Mitchell,Francis,,5,NW
Montgomery,Betty,,13,SE
Moore,Frank,,12,NW
Morgan,Francis,,12,SW
Morgan,Marvin,,15,NW,
Morris,Daniel,,15,NW
Morrison,Antonio,,1,SE
Moss,Lonnie,,29,SW
Murphy,Bernard,,12,NW
Murray,Gene,,12,NE
Myers,Chester,,14,NE
Neal,Leonard,,13,SW
Nelson,Roy,,2,NW
Newman,Patricia,,11,SE
Nguyen,Samuel,,11,NW
Nichols,Steve,,31,WC
Norris,Roy,,7,SW
Obrien,Elbert,,3,SE
Oconnor,Juan,,26,SW
Oliver,Ruth,,1,SE
Olson,Maurice,,15,NE
Owens,Johnnie,,15,NE
Pabodie,Frank H.,,32,SW
Page,Bennie,,1,SW
Palmer,Bobby,,16,WC
Park,Bernard,,22,SW
Parker,Anthony,,11,NW
Parks,Willie,,3,SW
Patel,Willis,,29,WC
Patterson,Raymond,,11,SE
Payne,Earnest,,11,WC
Pearson,Robert,,4,SE
Peaslee,Nathaniel Wingate,,13,SW
Perkins,Marshall,,9,EC
Perry,Charlie,,6,NE
Peters,Salvatore,,18,WC
Peterson,Warren,,1,NW
Phelan,Andrew,,14,SE
Philips,Trevor,,16,SW
Phillips,Ward,,55,ELS
Phillips,Winfield,,27,SW
Pickman,Richard Upton,,8,EC
Pierce,Tony,,13,WC
Pollard,Joseph,,1,SW
Porter,Glen,,6,WC
Powell,Vincent,,2,NE
Powers,Harold,,2,SE
Price,Clyde,,13,NE
Quinn,Alan,,2,SW
Ramsey,Kelvin,,16,SW
Ray,Dennis,,5,EC
Reed,Leroy,,3,NW
Reeves,Clinton,,4,SW
Reid,Marjorie,,1,SE
Reynolds,Bill,,15,NE
Rhodes,Robert,,5,SW
Rice,Irving,,26,WC
Rice,Warren,,18,WC
Richards,Leland,,10,EC
Richardson,Floyd,,5,NE
Riley,Dan,,7,EC
Robbins,Jay,,8,SW
Roberts,Lawrence,,6,NW
Robertson,Bob,,17,WC
Robinson,Albert,,6,NW
Rogers,Melvin,,14,NW
Rose,Tom,,26,WC
Ross,Wayne,,1,NE
Russell,Leon,,4,NE
Ryan,Johnny,6,WC
